name,longitude,latitude,prov,date,key
Bombycilla garrulus,-72.7634583,44.2476463,ebird,2017-03-23,L2229812
Bombycilla garrulus,-69.807538,44.310251,ebird,2017-03-23,L5606394
Bombycilla garrulus,-87.1399645,45.1841372,ebird,2017-03-23,L1425145
Bombycilla garrulus,-92.102038,46.816038,ebird,2017-03-23,L5606299
Bombycilla garrulus,-113.9762878,46.8762695,ebird,2017-03-23,L1296837
Bombycilla garrulus,-102.0863342,48.6745137,ebird,2017-03-23,L3392270
Bombycilla garrulus,-70.3536987,43.7586967,ebird,2017-03-23,L357203
Bombycilla garrulus,-72.6214419,43.5870779,ebird,2017-03-23,L5605774
Bombycilla garrulus,-149.8967186,61.2065425,ebird,2017-03-23,L5608055
Bombycilla garrulus,-149.2006874,61.5903112,ebird,2017-03-23,L791868
Bombycilla garrulus,-89.3978119,45.6324659,ebird,2017-03-23,L5526767
Bombycilla garrulus,-85.1311621,45.1524676,ebird,2017-03-23,L1347437
Bombycilla garrulus,-73.098841,44.478726,ebird,2017-03-23,L4138246
Bombycilla garrulus,-94.8411083,47.446452,ebird,2017-03-23,L5606525
Bombycilla garrulus,-92.062994,46.934187,ebird,2017-03-23,L5605353
Bombycilla garrulus,-69.1998295,44.5994973,ebird,2017-03-23,L2226580
Bombycilla garrulus,-149.8812819,61.1058178,ebird,2017-03-22,L553860
Bombycilla garrulus,-72.2011614,42.9976638,ebird,2017-03-22,L5605426
Bombycilla garrulus,-69.039715,44.417645,ebird,2017-03-22,L5443315
Bombycilla garrulus,-114.255792,47.367259,ebird,2017-03-22,L247320
Bombycilla garrulus,-70.8734626,43.2128088,ebird,2017-03-22,L5244349
Bombycilla garrulus,-149.1186869,61.5959154,ebird,2017-03-22,L4333180
Bombycilla garrulus,-84.356424,46.487032,ebird,2017-03-22,L4143474
Bombycilla garrulus,-92.2050762,46.7289703,ebird,2017-03-22,L391307
Bombycilla garrulus,-92.143953,46.773811,ebird,2017-03-22,L5603091
Bombycilla garrulus,-117.0165718,46.7203433,ebird,2017-03-22,L721630
Bombycilla garrulus,-149.777093,61.16413,ebird,2017-03-22,L5404117
Bombycilla garrulus,-116.1452832,43.5285925,ebird,2017-03-22,L1556777
Bombycilla garrulus,-70.1200005,43.8406752,ebird,2017-03-22,L811521
Bombycilla garrulus,-72.3235989,43.6264388,ebird,2017-03-22,L5603659
Bombycilla garrulus,-112.333091,48.63413,ebird,2017-03-22,L3915410
Bombycilla garrulus,-89.4184113,45.6524483,ebird,2017-03-22,L638661
Bombycilla garrulus,-69.77904,44.311304,ebird,2017-03-22,L5602233
Bombycilla garrulus,-116.0992455,44.9089991,ebird,2017-03-22,L2445423
Bombycilla garrulus,-94.1927648,46.3489648,ebird,2017-03-22,L3380223
Bombycilla garrulus,-112.0542807,47.700513,ebird,2017-03-22,L247312
Bombycilla garrulus,-89.4506836,44.8811743,ebird,2017-03-21,L1018146
Bombycilla garrulus,-72.8987691,42.694883,ebird,2017-03-21,L2821334
Bombycilla garrulus,-111.02880999999999,45.683295,ebird,2017-03-21,L5600354
Bombycilla garrulus,-114.1679008,47.6447054,ebird,2017-03-21,L5600182
Bombycilla garrulus,-149.9002182,61.2042635,ebird,2017-03-21,L3526289
Bombycilla garrulus,-92.123816,46.7741863,ebird,2017-03-21,L391162
Bombycilla garrulus,-114.036916,46.877378,ebird,2017-03-21,L5596716
Bombycilla garrulus,-69.8082275,43.8266172,ebird,2017-03-21,L2464521
Bombycilla garrulus,-119.9328518,46.6857507,ebird,2017-03-21,L3996321
Bombycilla garrulus,-117.0025599,46.7236677,ebird,2017-03-21,L2506527
Bombycilla garrulus,-110.7363939,43.4692725,ebird,2017-03-21,L978821
Bombycilla garrulus,-92.070573,46.827484,ebird,2017-03-21,L5551926
Bombycilla garrulus,-91.887422,46.909205,ebird,2017-03-21,L5492739
Bombycilla garrulus,-149.8109651,61.1560899,ebird,2017-03-21,L3107838
Bombycilla garrulus,-97.0280421,47.9433358,ebird,2017-03-21,L792862
Bombycilla garrulus,-71.979332,42.973255,ebird,2017-03-20,L1183717
Bombycilla garrulus,-92.089295,46.822183,ebird,2017-03-20,L5597182
Bombycilla garrulus,-92.08612,46.82312,ebird,2017-03-20,L469453
Bombycilla garrulus,-113.925808,46.901427,ebird,2017-03-20,L5586558
Bombycilla garrulus,-92.043457,46.8371798,ebird,2017-03-20,L1276756
Bombycilla garrulus,-117.5666667,47.4333333,ebird,2017-03-20,L109546
Bombycilla garrulus,-85.4362535,44.8308057,ebird,2017-03-20,L5454477
Bombycilla garrulus,-85.2009863,44.7838531,ebird,2017-03-20,L858489
Bombycilla garrulus,-149.9430934,61.1973574,ebird,2017-03-20,L1441786
Bombycilla garrulus,-86.3322186,44.2472588,ebird,2017-03-20,L1991232
Bombycilla garrulus,-71.5455866,43.6644956,ebird,2017-03-20,L4312112
Bombycilla garrulus,-113.9846574,46.8790677,ebird,2017-03-20,L1341712
Bombycilla garrulus,-110.742445,43.476851,ebird,2017-03-20,L4140718
Bombycilla garrulus,-149.888901,61.160802,ebird,2017-03-20,L5600926
Bombycilla garrulus,-68.0027533,46.6711951,ebird,2017-03-20,L504483
Bombycilla garrulus,-71.156654,43.238728,ebird,2017-03-20,L169736
Bombycilla garrulus,-73.984952,44.2819893,ebird,2017-03-20,L5146751
